candidate_id,feature,target,sector,sector_scope_status
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
range_position_rank_8__fwd_return_5m_beta_residual,range_position_rank_8,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_rank_4__fwd_return_5m_beta_residual,return_rank_4,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_rank_1__fwd_return_5m_beta_residual,return_rank_1,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
range_position_rank_1__fwd_return_5m_beta_residual,range_position_rank_1,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_outlier_score_8__fwd_return_5m_beta_residual,return_outlier_score_8,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_60__fwd_return_eod_beta_residual,market_residual_return_60,fwd_return_eod_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_60__fwd_return_eod_benchmark_adjusted,market_residual_return_60,fwd_return_eod_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
return_outlier_score_20__fwd_return_5m_beta_residual,return_outlier_score_20,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_20__fwd_return_5m_beta_residual,market_residual_return_20,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_20__fwd_return_5m_benchmark_adjusted,market_residual_return_20,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
breakdown_magnitude_5__fwd_return_5m_beta_residual,breakdown_magnitude_5,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
breakdown_magnitude_6__fwd_return_5m_beta_residual,breakdown_magnitude_6,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
breakdown_magnitude_1__fwd_return_5m_beta_residual,breakdown_magnitude_1,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
range_position_1__fwd_return_120m_benchmark_adjusted,range_position_1,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
range_position_2__fwd_return_120m_benchmark_adjusted,range_position_2,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
close_location__fwd_return_120m_benchmark_adjusted,close_location,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
close_location__fwd_return_60m_benchmark_adjusted,close_location,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_120m_benchmark_adjusted,session_range_position,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_30m_benchmark_adjusted,session_range_position,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_60m_benchmark_adjusted,session_range_position,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_60__fwd_return_30m_beta_residual,market_residual_return_60,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_15m_benchmark_adjusted,session_range_position,fwd_return_15m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_5m_benchmark_adjusted,session_range_position,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
higher_high__fwd_return_120m_benchmark_adjusted,higher_high,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_60m_benchmark_adjusted,upper_wick_to_range,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_60m_beta_residual,upper_wick_to_range,fwd_return_60m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_20__fwd_return_30m_beta_residual,market_residual_return_20,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_5m__fwd_return_15m_benchmark_adjusted,opening_breakout_5m,fwd_return_15m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_5m__fwd_return_5m_benchmark_adjusted,opening_breakout_5m,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_4__fwd_return_30m_beta_residual,relative_volume_inclusive_4,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_2__fwd_return_30m_beta_residual,relative_volume_inclusive_2,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_5__fwd_return_30m_beta_residual,relative_volume_inclusive_5,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
universe_breadth_positive__fwd_return_30m_benchmark_adjusted,universe_breadth_positive,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
higher_low__fwd_return_120m_benchmark_adjusted,higher_low,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
universe_breadth_positive__fwd_return_30m_beta_residual,universe_breadth_positive,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
consecutive_negative_bars__fwd_return_5m_beta_residual,consecutive_negative_bars,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_10m__fwd_return_30m_benchmark_adjusted,opening_breakout_10m,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_5m__fwd_return_30m_benchmark_adjusted,opening_breakout_5m,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
range_position_1__fwd_return_30m_benchmark_adjusted,range_position_1,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
close_location__fwd_return_30m_benchmark_adjusted,close_location,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_30m_beta_residual,upper_wick_to_range,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_5m__fwd_return_120m_benchmark_adjusted,opening_breakout_5m,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_5m__fwd_return_60m_benchmark_adjusted,opening_breakout_5m,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_30m_benchmark_adjusted,upper_wick_to_range,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
opening_close_location_20m__fwd_return_15m_benchmark_adjusted,opening_close_location_20m,fwd_return_15m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
opening_close_location_20m__fwd_return_5m_benchmark_adjusted,opening_close_location_20m,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
return_consistency_5__fwd_return_120m_benchmark_adjusted,return_consistency_5,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
consecutive_positive_bars__fwd_return_120m_benchmark_adjusted,consecutive_positive_bars,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
lower_high__fwd_return_120m_benchmark_adjusted,lower_high,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_15m_beta_residual,upper_wick_to_range,fwd_return_15m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_1_z_1560__fwd_return_5m_beta_residual,return_1_z_1560,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_1_z_4680__fwd_return_5m_beta_residual,return_1_z_4680,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_15m_benchmark_adjusted,upper_wick_to_range,fwd_return_15m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
higher_high__fwd_return_120m_beta_residual,higher_high,fwd_return_120m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
higher_low__fwd_return_120m_beta_residual,higher_low,fwd_return_120m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
range_position_10_z_4680__fwd_return_120m_benchmark_adjusted,range_position_10_z_4680,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
range_position_10_z_1560__fwd_return_120m_benchmark_adjusted,range_position_10_z_1560,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_5__fwd_return_5m_benchmark_adjusted,relative_volume_inclusive_5,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_3__fwd_return_15m_beta_residual,relative_volume_inclusive_3,fwd_return_15m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
unreacted_market_move_2__fwd_return_5m_beta_residual,unreacted_market_move_2,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakdown_5m__fwd_return_120m_benchmark_adjusted,opening_breakdown_5m,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakdown_5m__fwd_return_30m_benchmark_adjusted,opening_breakdown_5m,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
unreacted_market_move_1__fwd_return_15m_beta_residual,unreacted_market_move_1,fwd_return_15m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
unreacted_market_move_3__fwd_return_5m_beta_residual,unreacted_market_move_3,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakdown_5m__fwd_return_60m_benchmark_adjusted,opening_breakdown_5m,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
universe_breadth_positive__fwd_return_5m_benchmark_adjusted,universe_breadth_positive,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_3__fwd_return_60m_beta_residual,relative_volume_inclusive_3,fwd_return_60m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_4__fwd_return_60m_beta_residual,relative_volume_inclusive_4,fwd_return_60m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
opening_close_location_20m__fwd_return_30m_benchmark_adjusted,opening_close_location_20m,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
lower_wick_to_range__fwd_return_60m_benchmark_adjusted,lower_wick_to_range,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
lower_wick_to_range__fwd_return_30m_benchmark_adjusted,lower_wick_to_range,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
vwap_slope__fwd_return_60m_beta_residual,vwap_slope,fwd_return_60m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
vwap_slope__fwd_return_120m_beta_residual,vwap_slope,fwd_return_120m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_1_z_1560__fwd_return_120m_benchmark_adjusted,return_1_z_1560,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
lagged_breadth_change_3__fwd_return_eod,lagged_breadth_change_3,fwd_return_eod,unavailable,unavailable_missing_point_in_time_sector_data
vwap_slope__fwd_return_30m_beta_residual,vwap_slope,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
unreacted_market_move_1__fwd_return_eod_beta_residual,unreacted_market_move_1,fwd_return_eod_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
universe_breadth_positive__fwd_return_60m_beta_residual,universe_breadth_positive,fwd_return_60m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
